,id,address,categories,city,name,province,websites,lowerNames,cleanCategories,lowerCity
7240,AVweFO72_7pvs4fz_3w4,10810 Perry Hwy,"Burger Joint,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Restaurants",Wexford,Wendys,PA,"https://locations.wendys.com/wexford-pa-10427,http://www.wendys.com/,https://locations.wendys.com/united-states/pa/wexford/10810-perry-highway",wendys,"['burger joint', 'hot dog', 'hamburger', 'carry out']",wexford
7241,AVwdikRAkufWRAb565V5,1101 N Williams St,"Carry-out food,Restaurant,Fast Food Restaurant,Ice cream parlors,American restaurants,Ice Cream Store,Restaurants,Ice Cream Shop",Paulding,Dairy Queen,OH,"http://dairyqueen.com/,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=10325",dairy queen,"['carry out', 'american', 'ice cream store', 'ice cream', 'ice cream parlors']",paulding
7242,AV1b9pspFcQ3k02bF9fl,100 E Wallace Kneeland Blvd,"Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Breakfast Spot,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Shelton,McDonalds,WA,"http://www.mcdonalds.com/,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral",mcdonalds,"['break', 'hamburgers', 'coffeehouses', 'salads', 'take out', 'frozen yogurt', 'hot dogs', 'break spot', 'sandwich']",shelton
7243,AVwdGlNTkufWRAb52U6A,706 S College Ave,"Fast Food Restaurant,Sandwich Place,Fast Food Restaurant Downtown Tempe,Food & Dining",Tempe,Desert Subway,AZ,"http://subway.com/,http://www.subway.com/",desert subway,"['sandwich', 'dining', 'downtown tempe']",tempe
7244,AVwcn3us_7pvs4fzxLEo,4619 NE Sunset Blvd,Fast Food Restaurant,Renton,Taco Bell,WA,http://www.tacobell.com/,taco bell,[],renton
7245,AWhdqANTa4HuVbedfvqc,6815 S. Emerson Ave.,"Fast Food Restaurant,Sandwich Place",Indianapolis,Jersey Mikes Subs,IN,https://www.jerseymikes.com/11017,jersey mikes subs,['sandwich'],indianapolis
7246,AV1Tqxz4-gnIPe8DWj3m,1 W Flatiron Crossing Dr,"Restaurant,Fast Food Restaurant,Fast Food",Broomfield,McDonalds,CO,http://www.mcdonalds.com/,mcdonalds,[],broomfield
7247,AVwd_lx0IN2L1WUf1Cdt,12411 Highway 90,"Burger Joint,Fast Food Restaurant",Luling,Burger King,LA,"http://www.burgerking.com/,http://burgerking.com/",burger king,['burger joint'],luling
7248,AV1gTqzFRxPSIh2RaBpg,2150 Grass Valley Hwy,"Mexican Restaurant,American Restaurants,Burrito Place, Taco Place, and Mexican Restaurant,Restaurant,Mexican Restaurants,Taco Place,Take Out Restaurants,Fast Food Restaurants,Restaurants,Burrito Place",Auburn,Moes Southwest Grill,CA,"http://www.moes.com/,http://moes.com/",moes southwest grill,"['take out', 'burrito', 'mexican', 'american', 'taco']",auburn
7249,AWldFB2c3-Khe5l_52gg,211 Pelham Rd.,"American Restaurant,Fast Food Restaurant",Greenville,Golden Chick,SC,http://locations.goldenchick.com/sc/greenville/1233/,golden chick,['american'],greenville
